Classifier equal 0,Classifier equal 1,Tie breaker,Accuracy within 1%,Accuracy within 10%,MAE,MSE,RMSE,R2,Test mean,Pred mean,Mean difference,Full miss,Predictions at edge,Truth at edge,At edge difference,Prediction time,Training time,Total time
gb,rf,dt,0.8898842851810377,0.8917506532288167,0.09905174572020853,0.09463297984443697,0.3076247386743091,-0.1676540200619714,0.09019843920673186,0.03560470058507347,0.05459373862165839,0.08286674132138858,0.9824561403508771,0.9888017917133258,0.00634565136244869,0.0691530704498291,2979.0291430950165,2979.0982961654663
gb,rf,ada,0.8898842851810377,0.8917506532288167,0.09905174572020853,0.09463297984443697,0.3076247386743091,-0.1676540200619714,0.09019843920673186,0.036351247804185076,0.05384719140254678,0.08286674132138858,0.9824561403508771,0.9888017917133258,0.00634565136244869,0.10278177261352539,3448.496155977249,3448.5989377498627
lr,lr,dt,0.8898842851810377,0.8924972004479284,0.09950946133122256,0.09573665212356804,0.309413400038796,-0.18127197202413914,0.09019843920673186,0.05982653186906523,0.030371907337666627,0.08622620380739082,0.9858156028368794,0.9888017917133258,0.002986188876446416,0.004865884780883789,1540.0931332111359,1540.0979990959167
gb,ada,svc,0.8898842851810377,0.8924972004479284,0.09692232955260106,0.09192952336083164,0.30319881820487304,-0.1342967080938442,0.09019843920673186,0.03663893037641695,0.053559508830314906,0.07950727883538634,0.979096677864875,0.9888017917133258,0.009705113848450853,0.2190251350402832,4978.673003911972,4978.892029047012
lr,lr,gb,0.8898842851810377,0.8924972004479284,0.09950946133122256,0.09573665212356804,0.309413400038796,-0.18127197202413914,0.09019843920673186,0.05833343743084202,0.03186500177588984,0.08622620380739082,0.9858156028368794,0.9888017917133258,0.002986188876446416,0.006187915802001953,3516.8814113140106,3516.8875992298126
gb,dt,rf,0.8898842851810377,0.8921239268383725,0.09796966146071746,0.09296680224159036,0.30490457891214157,-0.14709544757171233,0.09019843920673186,0.036360197511884254,0.053838241694847605,0.07988055244494215,0.9798432250839866,0.9888017917133258,0.008958566629339249,0.04480314254760742,2955.5813410282135,2955.626144170761
lr,lr,ada,0.8898842851810377,0.8924972004479284,0.09950946133122256,0.09573665212356804,0.309413400038796,-0.18127197202413914,0.09019843920673186,0.06057307908817684,0.029625360118555016,0.08622620380739082,0.9858156028368794,0.9888017917133258,0.002986188876446416,0.014795064926147461,2009.5601460933685,2009.5749411582947
gb,knn,lr,0.8895110115714819,0.8913773796192609,0.09956172851027104,0.09548714703512147,0.3090099464986871,-0.17819338758106817,0.09019843920673186,0.04398469892089131,0.04621374028584055,0.0847331093691676,0.9839492347891005,0.9888017917133258,0.004852556924225371,0.6283450126647949,3098.3511860370636,3098.9795310497284
lr,lr,rf,0.8895110115714819,0.8921239268383725,0.09988273494077836,0.09610992573312384,0.31001600883361463,-0.18587770705961382,0.09019843920673186,0.05870671104039782,0.03149172816633404,0.08659947741694662,0.9858156028368794,0.9888017917133258,0.002986188876446416,0.01122903823852539,2504.238041162491,2504.2492702007294
rf,rf,lr,0.8895110115714819,0.8917506532288167,0.10118917056593778,0.09720402414922283,0.3117755990279272,-0.19937752938372832,0.09019843920673186,0.03355088396842768,0.05664755523830418,0.0851063829787234,0.9846957820082121,0.9888017917133258,0.004106009705113767,0.09471702575683594,2570.577769756317,2570.672486782074
gb,rf,knn,0.8895110115714819,0.8913773796192609,0.09942501932976434,0.09500625345399279,0.3082308444234496,-0.17225975509744584,0.09019843920673186,0.035977974194629274,0.054220465012102585,0.08324001493094438,0.9824561403508771,0.9888017917133258,0.00634565136244869,0.1318340301513672,3395.1429731845856,3395.274807214737
gb,lr,svc,0.8895110115714819,0.8913773796192609,0.09789324865010136,0.09268137238666864,0.3044361548611936,-0.14357359590759988,0.09019843920673186,0.03702987927158779,0.05316855993514407,0.07950727883538634,0.9787234042553191,0.9888017917133258,0.01007838745800671,0.14654207229614258,5202.745409727097,5202.891951799393
rf,rf,dt,0.8891377379619261,0.8913773796192609,0.1015624441754936,0.09757729775877863,0.31237365087148217,-0.20398326441920278,0.09019843920673186,0.034670704797095095,0.055527734409636764,0.0854796565882792,0.9846957820082121,0.9888017917133258,0.004106009705113767,0.08821392059326172,1885.6739246845245,1885.7621386051178
